Result for query 1:#AND(obama family tree)
Ranked
RANK DOCUMENT_ID SCORE

1 538475 939
2 518904 939
3 500740 939
4 888707 763
5 888679 763
6 888687 688
7 888678 577
8 888653 577
9 363826 519
10 616485 514
11 397346 513
12 182398 513
13 888669 512
14 888662 512
15 888695 511
16 888655 511
17 888706 507
18 888697 507
19 888681 507
20 888661 507
21 396081 507
22 220487 507
23 192195 507
24 159713 507
25 152559 507
26 888668 502
27 888673 501
28 636351 500
29 459465 468
30 586445 394
31 308114 350
32 888676 317
33 130504 313
34 888718 291
35 888717 291
36 888709 291
37 888699 291
38 888688 291
39 888686 291
40 888683 291
41 888675 291
42 888674 291
43 888671 291
44 888670 291
45 888657 291
46 888656 291
47 888652 291
48 888643 291
49 888641 291
50 514408 291



Result for query 15: #OR(espn sports)
Ranked
RANK DOCUMENT_ID SCORE
1 60411 343
2 889253 321
3 889209 285
4 889248 284
5 889229 284
6 889221 284
7 889213 284
8 889194 284
9 313798 284
10 32984 284
11 889201 283
12 889188 283
13 889239 282
14 889217 282
15 889216 282
16 889210 282
17 889230 281
18 889223 281
19 889205 281
20 853949 281
21 159469 281
22 476486 275
23 470551 236
24 889197 217
25 238592 207
26 343313 194
27 315038 192
28 803082 183
29 470823 179
30 489888 167
31 264765 166
32 793101 162
33 411799 151
34 445842 147
35 405124 142
36 889877 131
37 648654 131
38 595560 131
39 631349 128
40 803471 127
41 20819 126
42 581026 124
43 741116 120
44 639861 120
45 889219 118
46 280911 118
47 736500 117
48 832455 113
49 467938 113
50 623454 112
