Result for query 1:#AND(obama family tree)
Ranked
RANK DOCUMENT_ID SCORE
1 888718 15
2 888717 15
3 888715 15
4 888714 15
5 888709 15
6 888708 15
7 888704 15
8 888702 15
9 888700 15
10 888699 15
11 888698 15
12 888694 15
13 888688 15
14 888686 15
15 888683 15
16 888680 15
17 888677 15
18 888675 15
19 888674 15
20 888672 15
21 888671 15
22 888670 15
23 888667 15
24 888666 15
25 888663 15
26 888660 15
27 888659 15
28 888658 15
29 888657 15
30 888656 15
31 888654 15
32 888652 15
33 888650 15
34 888647 15
35 888644 15
36 888643 15
37 888642 15
38 888641 15
39 514408 15
40 471806 15
41 368450 15
42 316035 15
43 144022 15
44 61597 15
45 888706 4
46 888697 4
47 888695 4
48 888681 4
49 888673 4
50 888669 4



Result for query 15:#AND(espn sports)
Ranked
RANK DOCUMENT_ID SCORE
1 889253 122
2 889216 110
3 889210 110
4 889239 108
5 889230 108
6 889229 108
7 889223 108
8 889221 108
9 889217 108
10 889213 108
11 889209 108
12 889205 108
13 889201 108
14 889194 108
15 889188 108
16 853949 108
17 313798 108
18 159469 108
19 32984 108
20 889248 107
21 889240 94
22 889234 94
23 90597 85
24 181243 76
25 623454 74
26 280911 68
27 889219 66
28 394843 66
29 231387 62
30 227716 62
31 152305 62
32 889250 61
33 889199 61
34 889183 61
35 363489 61
36 60361 59
37 889197 57
38 632231 57
39 595589 57
40 889242 56
41 889193 56
42 631349 56
43 889190 53
44 889182 52
45 889238 51
46 889235 51
47 889228 51
48 889224 51
49 889206 51
50 889185 51




Result for query 1:#OR(obama family tree)
Ranked
RANK DOCUMENT_ID SCORE
1 538475 939
2 518904 939
3 500740 939
4 888707 763
5 888679 763
6 888687 688
7 888678 577
8 888653 577
9 363826 519
10 616485 514
11 397346 513
12 182398 513
13 888669 512
14 888662 512
15 888695 511
16 888655 511
17 888706 507
18 888697 507
19 888681 507
20 888661 507
21 396081 507
22 220487 507
23 192195 507
24 159713 507
25 152559 507
26 888668 502
27 888673 501
28 636351 500
29 459465 468
30 404250 438
31 586445 394
32 308114 350
33 888676 317
34 829556 316
35 814091 316
36 130504 313
37 191423 310
38 258173 300
39 888718 291
40 888717 291
41 888709 291
42 888699 291
43 888688 291
44 888686 291
45 888683 291
46 888675 291
47 888674 291
48 888671 291
49 888670 291
50 888657 291



Result for query 15:#OR(espn sports)
Ranked
RANK DOCUMENT_ID SCORE
1 60411 343
2 889253 321
3 889209 285
4 889248 284
5 889229 284
6 889221 284
7 889213 284
8 889194 284
9 313798 284
10 32984 284
11 889201 283
12 889188 283
13 889239 282
14 889217 282
15 889216 282
16 889210 282
17 889230 281
18 889223 281
19 889205 281
20 853949 281
21 159469 281
22 476486 275
23 470551 236
24 889197 217
25 238592 207
26 343313 194
27 315038 192
28 803082 183
29 470823 179
30 489888 167
31 264765 166
32 793101 162
33 411799 151
34 445842 147
35 405124 142
36 889877 131
37 648654 131
38 595560 131
39 631349 128
40 803471 127
41 20819 126
42 581026 124
43 741116 120
44 639861 120
45 889219 118
46 280911 118
47 736500 117
48 832455 113
49 467938 113
50 623454 112



Result for query 1:#AND(obama family tree)
Unranked
RANK DOCUMENT_ID SCORE
1 890468 1
2 890467 1
3 890465 1
4 890463 1
5 890462 1
6 890460 1
7 890453 1
8 890445 1
9 890441 1
10 890432 1
11 890332 1
12 890326 1
13 890304 1
14 890303 1
15 890294 1
16 888718 1
17 888717 1
18 888716 1
19 888715 1
20 888714 1
21 888713 1
22 888711 1
23 888709 1
24 888708 1
25 888707 1
26 888706 1
27 888705 1
28 888704 1
29 888703 1
30 888702 1
31 888701 1
32 888700 1
33 888699 1
34 888698 1
35 888697 1
36 888695 1
37 888694 1
38 888693 1
39 888692 1
40 888691 1
41 888690 1
42 888689 1
43 888688 1
44 888687 1
45 888686 1
46 888685 1
47 888684 1
48 888683 1
49 888682 1
50 888681 1



Result for query 15:#AND(espn sports)
Unranked
RANK DOCUMENT_ID SCORE
1 890558 1
2 890554 1
3 890553 1
4 890299 1
5 890285 1
6 890282 1
7 890281 1
8 890278 1
9 890277 1
10 890276 1
11 890272 1
12 890270 1
13 890268 1
14 890267 1
15 890266 1
16 890264 1
17 890263 1
18 890262 1
19 890260 1
20 890258 1
21 890256 1
22 890255 1
23 890254 1
24 890252 1
25 890251 1
26 890250 1
27 890248 1
28 890247 1
29 890246 1
30 890245 1
31 890243 1
32 890242 1
33 890238 1
34 890235 1
35 890234 1
36 890093 1
37 889888 1
38 889877 1
39 889852 1
40 889584 1
41 889328 1
42 889326 1
43 889319 1
44 889318 1
45 889317 1
46 889312 1
47 889310 1
48 889254 1
49 889253 1
50 889251 1



Result for query 1:#OR(obama family tree)
Unranked
RANK DOCUMENT_ID SCORE
1 890630 1
2 890628 1
3 890625 1
4 890622 1
5 890619 1
6 890613 1
7 890602 1
8 890600 1
9 890598 1
10 890586 1
11 890585 1
12 890567 1
13 890564 1
14 890563 1
15 890562 1
16 890560 1
17 890558 1
18 890554 1
19 890553 1
20 890549 1
21 890548 1
22 890547 1
23 890542 1
24 890540 1
25 890538 1
26 890533 1
27 890529 1
28 890526 1
29 890523 1
30 890509 1
31 890490 1
32 890488 1
33 890487 1
34 890485 1
35 890483 1
36 890482 1
37 890478 1
38 890476 1
39 890474 1
40 890470 1
41 890469 1
42 890468 1
43 890467 1
44 890466 1
45 890465 1
46 890464 1
47 890463 1
48 890462 1
49 890461 1
50 890460 1



Result for query 15:#OR(espn sports)
Unranked
RANK DOCUMENT_ID SCORE
1 890630 1
2 890626 1
3 890625 1
4 890622 1
5 890621 1
6 890618 1
7 890617 1
8 890616 1
9 890613 1
10 890612 1
11 890608 1
12 890605 1
13 890602 1
14 890601 1
15 890598 1
16 890592 1
17 890570 1
18 890558 1
19 890556 1
20 890555 1
21 890554 1
22 890553 1
23 890552 1
24 890544 1
25 890508 1
26 890468 1
27 890467 1
28 890466 1
29 890465 1
30 890463 1
31 890462 1
32 890461 1
33 890460 1
34 890457 1
35 890456 1
36 890455 1
37 890453 1
38 890451 1
39 890450 1
40 890449 1
41 890448 1
42 890446 1
43 890445 1
44 890444 1
45 890442 1
46 890441 1
47 890438 1
